idx,avg_core_id,avg_weight_ns,first_sample_time_ns,last_sample_time_ns,max_core_id,running_count,running_fraction,sample_span_ns,samples_per_bucket,sentinel_count,total_weight_ns,unique_process_count,unique_thread_count
0,4.549206349206349,1000000.0,293133500.0,492136083.0,6.0,315.0,1.0,199002583.0,315.0,0.0,315000000.0,1.0,2.0
1,4.7250755287009065,1000000.0,493136000.0,693132958.0,7.0,331.0,1.0,199996958.0,331.0,0.0,331000000.0,1.0,2.0
2,5.333333333333333,1000000.0,694135791.0,893132666.0,7.0,309.0,1.0,198996875.0,309.0,0.0,309000000.0,1.0,2.0
3,4.743827160493828,1000000.0,894135708.0,1093133083.0,7.0,324.0,1.0,198997375.0,324.0,0.0,324000000.0,1.0,2.0
4,4.906906906906907,1000000.0,1094135916.0,1292133000.0,7.0,333.0,1.0,197997084.0,333.0,0.0,333000000.0,1.0,2.0
5,4.597523219814241,1000000.0,1293136000.0,1492135875.0,6.0,323.0,1.0,198999875.0,323.0,0.0,323000000.0,1.0,2.0
6,4.586206896551724,1000000.0,1493136125.0,1692132916.0,6.0,319.0,1.0,198996791.0,319.0,0.0,319000000.0,1.0,2.0
7,4.778846153846154,1000000.0,1693135833.0,1892132916.0,7.0,312.0,1.0,198997083.0,312.0,0.0,312000000.0,1.0,2.0
8,4.578125,1000000.0,1893136041.0,2092133291.0,6.0,320.0,1.0,198997250.0,320.0,0.0,320000000.0,1.0,3.0
9,4.679245283018868,1000000.0,2093135958.0,2293132916.0,6.0,318.0,1.0,199996958.0,318.0,0.0,318000000.0,1.0,2.0
10,4.556962025316456,1000000.0,2294136208.0,2493133458.0,8.0,316.0,1.0,198997250.0,316.0,0.0,316000000.0,1.0,2.0
11,4.87888198757764,1000000.0,2493134041.0,2692133916.0,6.0,322.0,1.0,198999875.0,322.0,0.0,322000000.0,1.0,2.0
12,4.592261904761905,1000000.0,2693136000.0,2892133000.0,6.0,336.0,1.0,198997000.0,336.0,0.0,336000000.0,1.0,2.0
13,4.701538461538462,1000000.0,2893136041.0,3093132958.0,7.0,325.0,1.0,199996917.0,325.0,0.0,325000000.0,1.0,3.0
14,4.728395061728395,1000000.0,3094136083.0,3293132750.0,6.0,324.0,1.0,198996667.0,324.0,0.0,324000000.0,1.0,2.0
15,4.829192546583851,1000000.0,3294135875.0,3493133000.0,6.0,322.0,1.0,198997125.0,322.0,0.0,322000000.0,1.0,2.0
16,4.891640866873065,1000000.0,3494135875.0,3692135916.0,6.0,323.0,1.0,198000041.0,323.0,0.0,323000000.0,1.0,2.0
17,4.7756410256410255,1000000.0,3693135916.0,3892133041.0,6.0,312.0,1.0,198997125.0,312.0,0.0,312000000.0,1.0,2.0
18,4.72,1000000.0,3893136041.0,4093132833.0,7.0,325.0,1.0,199996792.0,325.0,0.0,325000000.0,1.0,3.0
