config,gate_label,confidence_threshold,n_kept,coverage,abstain_rate,selective_top1_acc,selective_top2_acc,selective_balanced_acc,selective_macro_f1,feature_profile
tier0,trained,-0.06035582689811195,13,0.65,0.35,0.3076923076923077,0.6923076923076923,0.3125,0.22222222222222218,full
tier0,conf_0.00,0.0,13,0.65,0.35,0.3076923076923077,0.6923076923076923,0.3125,0.22222222222222218,full
tier0,conf_0.05,0.05,6,0.3,0.7,0.3333333333333333,0.5,0.375,0.26666666666666666,full
tier0,conf_0.10,0.1,3,0.15,0.85,0.3333333333333333,0.3333333333333333,0.25,0.13333333333333333,full
tier0,conf_0.15,0.15,1,0.05,0.95,1.0,1.0,1.0,0.2,full
tier0,conf_0.20,0.2,1,0.05,0.95,1.0,1.0,1.0,0.2,full
tier0,conf_0.25,0.25,1,0.05,0.95,1.0,1.0,1.0,0.2,full
tier0_tier1,conf_0.00,0.0,17,0.85,0.15000000000000002,0.17647058823529413,0.35294117647058826,0.18333333333333332,0.17142857142857143,full
tier0_tier1,conf_0.05,0.05,14,0.7,0.30000000000000004,0.14285714285714285,0.35714285714285715,0.16666666666666666,0.16666666666666666,full
tier0_tier1,conf_0.10,0.1,11,0.55,0.44999999999999996,0.09090909090909091,0.36363636363636365,0.1,0.1,full
tier0_tier1,conf_0.15,0.15,7,0.35,0.65,0.0,0.2857142857142857,0.0,0.0,full
tier0_tier1,conf_0.20,0.2,6,0.3,0.7,0.0,0.3333333333333333,0.0,0.0,full
tier0_tier1,conf_0.25,0.25,4,0.2,0.8,0.0,0.5,0.0,0.0,full
tier0_tier1,trained,0.5182838150655065,3,0.15,0.85,0.0,0.6666666666666666,0.0,0.0,full
tier0_tier1_tier2,trained,-0.02096295680746687,11,0.55,0.44999999999999996,0.09090909090909091,0.18181818181818182,0.06666666666666667,0.06666666666666667,full
tier0_tier1_tier2,conf_0.00,0.0,10,0.5,0.5,0.0,0.1,0.0,0.0,full
tier0_tier1_tier2,conf_0.05,0.05,6,0.3,0.7,0.0,0.0,0.0,0.0,full
tier0_tier1_tier2,conf_0.10,0.1,6,0.3,0.7,0.0,0.0,0.0,0.0,full
tier0_tier1_tier2,conf_0.15,0.15,5,0.25,0.75,0.0,0.0,0.0,0.0,full
tier0_tier1_tier2,conf_0.20,0.2,5,0.25,0.75,0.0,0.0,0.0,0.0,full
tier0_tier1_tier2,conf_0.25,0.25,2,0.1,0.9,0.0,0.0,0.0,0.0,full
